lifeHappySlider_response,blockHappySlider_response,isHappyBlock,isCongruent,isWinOnTop,lastHappyRating,diff,sumDiff,RPE,winAmount,loseAmount,certainAmount,choice,outcome,outcomeAmount,currentWinnings,outcome1Box_started,choiceKey_keys,choiceKey_rt,outcome1Box_2_started,outcome1Box_3_started,fixCross_ITI_started,fixCross_ISI_started,happyText_started,happySlider_response,happySlider_rt,happySlider_started,trial_sample,choice_sample,outcome_sample,happyText_sample,happySlider_sample,fixCross_ITI_sample
0.73,0.63,True,True,True,0.63,-0.37,-0.37,5.55,1.7,-3.85,-1.075,gamble,win,1.7,1.7,105.484451640463,1,1.70090186660946,107.218462267034,111.203290365211,112.20361130621,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,0
NaN,NaN,True,False,False,0.63,-0.37,-0.74,-1.35666666666667,8.1,6.74333333333333,3.37166666666667,gamble,lose,6.74333333333333,8.44333333333333,114.221038754506,1,1.58414333871406,115.838318371552,119.823134950411,120.823515407887,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,0
NaN,NaN,True,True,True,0.63,-0.37,-1.11,6.29,10.7,4.41,2.205,gamble,win,10.7,19.1433333333333,122.841053569628,1,1.60088698749041,124.474933803919,128.459838057587,137.963373048316,129.46019003675,130.460571774151,0.72,7.50257824736764,133.461638271015,0,0,0,0,0,0
NaN,NaN,True,False,False,0.72,-0.28,-1.39,-1.09583333333333,3.9,2.80416666666667,1.40208333333333,gamble,lose,2.80416666666667,21.9475,139.980825135152,1,1.01713626553374,141.031214792084,145.032713583356,146.016322553704,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,0
NaN,NaN,True,True,True,0.72,-0.28,-1.67,5.59,8.3,2.71,1.355,gamble,win,8.3,30.2475,148.033829997264,1,2.11769127267689,150.184607951209,154.169476047018,163.6730455957,155.169785148719,156.170193444548,0.72,7.50283199234582,159.171345696334,0,0,0,0,0,0
NaN,NaN,True,True,True,0.72,-0.28,-1.95,5.87,4.1,-1.77,1.165,certain,certain,1.165,31.4125,165.690488723068,3,2.4344216422387,168.141334992968,172.142857782819,173.143271838307,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,0
NaN,NaN,True,True,True,0.72,-0.28,-2.23,6.15,2.7,-3.45,-0.375,gamble,win,2.7,34.1125,175.160717845503,1,1.68408494217147,176.877955385041,180.862824440793,181.863218977436,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,0
NaN,NaN,True,True,False,0.72,-0.28,-2.51,6.43,13.7,7.27,3.635,gamble,win,13.7,47.8125,183.880559710865,1,1.25085362946538,185.16446098391,189.149249084454,198.652766156243,190.149681058881,191.149969361813,0.77,7.50264800323839,194.151158091441,0,0,0,0,0,0
NaN,NaN,True,True,False,0.77,-0.23,-2.74,5.96,11.5,5.54,2.77,gamble,win,11.5,59.3125,200.670231042322,1,1.0172217004756,201.720687575295,205.705472476029,206.705883331707,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,0
NaN,NaN,True,True,True,0.77,-0.23,-2.97,6.19,-0.5,-6.69,-3.595,gamble,win,-0.5,58.8125,208.723306620248,1,2.2009589832287,210.957426840331,214.95900050717,224.445883683686,215.942644995416,216.942970736132,0.73,7.50286751024396,219.944085870116,0,0,0,0,0,0
NaN,NaN,True,True,True,0.73,-0.27,-3.24,7.02,1.3,-5.72,-2.21,gamble,win,1.3,60.1125,226.463307292208,1,1.66760047805201,228.163947094332,232.165449725376,233.149155330005,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,0
NaN,NaN,True,False,True,0.73,-0.27,-3.51,-1.2375,4.7,3.4625,1.73125,gamble,lose,3.4625,63.575,235.166540220819,1,0.967281296946567,236.166914918636,240.151724137931,249.655254328944,241.152168911601,242.152536249854,0.71,7.50261600513204,245.153656503535,0,0,0,0,0,0
NaN,NaN,True,True,True,0.71,-0.29,-3.8,7.86,10.3,2.44,1.22,gamble,win,10.3,73.875,251.67277617165,1,1.13396422931783,252.839843081289,256.824721416492,257.825104113836,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,0
NaN,NaN,True,True,False,0.71,-0.29,-4.09,8.15,0.5,-7.65,-3.575,certain,certain,-3.575,70.3,259.842473005598,3,2.26777518770905,262.143338074386,266.14488934255,267.128544710153,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,0
NaN,NaN,True,True,False,0.71,-0.29,-4.38,8.44,1.1,-7.34,-3.12,gamble,win,1.1,71.4,269.145968638656,1,1.5676911926821,270.746592601718,274.731438298852,284.234949291002,275.731737801122,276.732192174223,0.74,7.50263264414662,279.733309868056,0,0,0,0,0,0
NaN,NaN,True,True,True,0.74,-0.26,-4.64,8.28,4.9,-3.38,0.760000000000001,certain,certain,0.760000000000001,72.16,286.252397538065,3,2.884768741691,289.170211043506,293.171716874361,294.155363602475,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,0
NaN,NaN,True,False,True,0.74,-0.26,-4.9,-1.31833333333333,-0.3,-1.61833333333333,-0.959166666666667,gamble,lose,-1.61833333333333,70.5416666666667,296.172789130884,1,2.45116465105184,298.65709358006,302.641925198028,312.145438750026,303.642316854842,304.642677153513,0.68,7.50235458060888,307.643751329922,0,0,0,0,0,0
NaN,NaN,True,True,False,0.68,-0.32,-5.22,9.7,1.9,-7.8,-2.95,gamble,win,1.9,72.4416666666667,314.162867798226,1,2.00111833379469,316.19700945704,320.198475290263,321.182176735138,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,0
NaN,NaN,True,False,True,0.68,-0.32,-5.54,-1.58166666666667,-1.3,-2.88166666666667,-2.09083333333333,certain,certain,-2.09083333333333,70.3508333333333,323.199603863452,3,2.15104257827898,325.383712964192,329.385253353002,330.369017514163,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,0
NaN,NaN,True,True,True,0.68,-0.32,-5.86,10.34,10.5,0.16,0.0800000000000001,gamble,win,10.5,80.8508333333333,332.386342248539,1,1.75104289826049,334.170436630151,338.155223770753,347.65883395703,339.155647745653,340.156030442998,0.67,7.5027791954717,343.157142697152,0,0,0,0,0,0
NaN,NaN,True,True,False,0.67,-0.33,-6.19,10.81,9.1,-1.71,-0.855,gamble,win,9.1,89.9508333333333,349.676277084396,1,2.30109609511146,351.993738290693,355.995225882628,356.995630978646,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,0
NaN,NaN,True,True,True,0.67,-0.33,-6.52,11.14,8.5,-2.64,-1.32,gamble,win,8.5,98.4508333333333,359.013101304403,1,2.23448659839323,361.280629146754,365.282051462554,374.768958637648,366.265733068602,367.266211440283,0.69,7.50273343818026,370.267316974835,0,0,0,0,0,0
NaN,NaN,True,True,False,0.69,-0.31,-6.83,11.17,7.1,-4.07,1.515,gamble,win,7.1,105.550833333333,376.786383846076,NaN,NaN,379.787530018223,383.77234915693,384.77273665399,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,0
