lifeHappySlider_response,blockHappySlider_response,isHappyBlock,isCongruent,isWinOnTop,lastHappyRating,diff,sumDiff,RPE,winAmount,loseAmount,certainAmount,choice,outcome,outcomeAmount,currentWinnings,outcome1Box_started,choiceKey_keys,choiceKey_rt,outcome1Box_2_started,outcome1Box_3_started,fixCross_ITI_started,fixCross_ISI_started,happyText_started,happySlider_response,happySlider_rt,happySlider_started,trial_sample,choice_sample,outcome_sample,happyText_sample,happySlider_sample,fixCross_ITI_sample
0.84,0.85,True,False,False,0.85,-0.15,-0.15,-0.5375,1.1,0.5625,0.83125,certain,certain,0.83125,0.83125,1120.41752509854,3,2.65124833013397,1123.10187877482,1127.08671482396,1128.08709848253,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,0
NaN,NaN,True,False,False,0.85,-0.15,-0.3,-0.55,3.5,2.95,1.475,gamble,lose,2.95,3.78125,1130.10452278669,1,2.10105482093059,1132.23867111444,1136.22351196327,1137.22388890223,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,0
NaN,NaN,True,False,True,0.85,-0.15,-0.45,-0.5625,0.3,-0.2625,0.0187499999999999,certain,certain,0.0187499999999999,3.8,1139.24132024602,3,2.65125280991197,1141.90899325639,1145.91057076806,1155.4141096099,1146.9108968298,1147.91127184872,0.86,7.50275328580756,1150.91237738682,0,0,0,0,0,0
NaN,NaN,True,True,True,0.86,-0.14,-0.59,2.55,6.3,3.75,1.875,gamble,win,6.3,10.1,1157.43154799333,1,1.5173153502401,1158.98213252053,1162.96696472995,1163.96734806849,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,0
NaN,NaN,True,True,True,0.86,-0.14,-0.73,2.69,11.7,9.01,4.505,gamble,win,11.7,21.8,1165.98478389205,1,1.65088259067852,1167.66875582968,1171.67029430356,1181.15720495651,1172.65397457744,1173.65438415448,0.9,7.5028803186724,1176.6554768933,0,0,0,0,0,0
NaN,NaN,True,True,False,0.9,-0.1,-0.83,2.23,8.9,6.67,3.335,gamble,win,8.9,30.7,1183.17468461767,1,0.967230315087363,1184.17501067941,1188.1598489685,1189.16022430744,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,0
NaN,NaN,True,True,False,0.9,-0.1,-0.93,2.33,1.5,-0.83,0.335,certain,certain,0.335,31.035,1191.17760509416,3,2.10112041723914,1193.31180237909,1197.29664130812,1198.29701856698,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,0
NaN,NaN,True,True,False,0.9,-0.1,-1.03,2.43,1.7,-0.73,0.485,certain,certain,0.485,31.52,1200.3144486309,3,1.55084755260032,1201.89836281165,1205.89989872568,1215.38681033859,1206.88360811793,1207.88404009375,0.88,7.50270496844314,1210.88511907333,0,0,0,0,0,0
NaN,NaN,True,True,False,0.88,-0.12,-1.15,2.83,0.9,-1.93,-0.515,certain,certain,-0.515,31.005,1217.40425384173,3,2.36764757172205,1219.80516675068,1223.80673402292,1224.79038933816,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,0
NaN,NaN,True,True,True,0.88,-0.12,-1.27,2.95,-1.1,-4.05,-2.575,certain,certain,-2.575,28.43,1226.80787539901,3,2.53449550829828,1229.37548361288,1233.37697952916,1242.86389082216,1234.36068252183,1235.36105786078,0.89,7.50278624391649,1238.36217555811,0,0,0,0,0,0
NaN,NaN,True,True,True,0.89,-0.11,-1.38,2.92,9.5,6.58,3.29,certain,certain,3.29,31.72,1244.88133080548,3,1.08404745324515,1245.99847528536,1249.98325917753,1250.98363675631,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,0
NaN,NaN,True,True,True,0.89,-0.11,-1.49,3.03,11.9,8.87,4.435,gamble,win,11.9,43.62,1253.00106746017,1,0.767201836802997,1253.801356724,1257.78621773177,1267.28986984724,1258.78659819055,1259.78697672929,0.89,7.50289951765444,1262.78815394337,0,0,0,0,0,0
NaN,NaN,True,True,True,0.89,-0.11,-1.6,3.14,11.5,8.36,4.18,gamble,win,11.5,55.12,1269.3072448743,1,0.917278872337192,1270.2576114937,1274.25907029212,1275.24282192194,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,0
NaN,NaN,True,True,False,0.89,-0.11,-1.71,3.25,4.5,1.25,0.625,gamble,win,4.5,59.62,1277.26024206646,1,1.28408809110988,1278.57742782403,1282.56226355326,1283.5626436919,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,0
NaN,NaN,True,True,True,0.89,-0.11,-1.82,3.36,10.5,7.14,3.57,gamble,win,10.5,70.12,1285.58007439587,1,0.83395329862833,1286.44712536095,1290.43195501051,1299.9355076116,1291.43228971178,1292.43264905165,0.94,7.50275232584681,1295.43378754787,0,0,0,0,0,0
NaN,NaN,True,True,False,0.94,-0.0600000000000001,-1.88,2.72,5.9,3.18,1.59,gamble,win,5.9,76.02,1301.95294183528,1,0.833898581680842,1302.81993392366,1306.80477477261,1307.80515843118,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,0
NaN,NaN,True,False,True,0.94,-0.0600000000000001,-1.94,-0.371666666666667,4.1,3.72833333333333,1.86416666666667,gamble,lose,3.72833333333333,79.7483333333333,1309.82258401532,1,0.800609885831363,1310.65625220991,1314.6411461758,1324.14465365943,1315.64151127532,1316.64183349733,0.94,7.50275648559909,1319.64293423563,0,0,0,0,0,0
NaN,NaN,True,False,False,0.94,-0.0600000000000001,-2,-0.376666666666667,5.3,4.92333333333333,2.46166666666667,gamble,lose,4.92333333333333,84.6716666666667,1326.16215891915,1,0.767134000430815,1326.96235186828,1330.94731943007,1331.94760901388,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,0
NaN,NaN,True,True,True,0.94,-0.0600000000000001,-2.06,2.9,2.3,-0.600000000000001,0.85,certain,certain,0.85,85.5216666666667,1333.96506403643,3,1.63425440166611,1335.63243882346,1339.61719775689,1340.61757981556,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,0
NaN,NaN,True,False,True,0.94,-0.0600000000000001,-2.12,-0.386666666666667,2.5,2.11333333333333,1.05666666666667,gamble,lose,2.11333333333333,87.635,1342.63500923943,1,0.800657883170061,1343.46869759297,1347.47019638901,1356.95707728365,1348.45387890283,1349.45425680163,0.91,7.50261345366016,1352.45537961868,0,0,0,0,0,0
NaN,NaN,True,False,True,0.91,-0.09,-2.21,-0.499166666666667,12.3,11.8008333333333,5.90041666666667,gamble,lose,11.8008333333333,99.4358333333333,1358.97453230619,1,0.700510851456784,1359.70818850142,1363.69293559564,1364.69336085173,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,0
NaN,NaN,True,True,False,0.91,-0.09,-2.3,3.56,11.3,7.74,3.87,gamble,win,11.3,110.735833333333,1366.7107573176,1,0.800611165817827,1367.54440599331,1371.52925036196,1381.03288135864,1372.52966377884,1373.53000615968,0.92,7.50278336415067,1376.53112897673,0,0,0,0,0,0
NaN,NaN,True,True,False,0.92,-0.08,-2.38,3.5,8.3,4.8,2.4,gamble,win,8.3,119.035833333333,1383.05033702112,1,0.950589326908812,1384.03398401686,1388.01887126325,1389.0192040446,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,0
NaN,NaN,True,False,True,0.92,-0.08,-2.46,-0.485,-0.5,-0.985,-0.7425,certain,certain,-0.7425,118.293333333333,1391.03662962874,3,2.15108049940318,1393.22079243558,1397.22235202824,1406.70923516282,1398.20605086116,1399.20639868162,0.89,7.50281664216891,1402.20752149879,0,0,0,0,0,0
NaN,NaN,True,True,False,0.89,-0.11,-2.57,4.11,7.7,3.59,1.795,gamble,win,7.7,125.993333333333,1408.72666458681,1,0.750419736607,1409.51034678053,1413.4951831497,1414.4955149712,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,0
NaN,NaN,True,True,False,0.89,-0.11,-2.68,4.22,-0.3,-4.52,-2.41,certain,certain,-2.41,123.583333333333,1416.51298503287,3,1.20071579993237,1417.74674442236,1421.73163550836,1422.73201852699,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,0
NaN,NaN,True,True,False,0.89,-0.11,-2.79,4.33,0.5,-3.83,-1.665,certain,certain,-1.665,121.918333333333,1424.74939259398,3,0.700565248378552,1425.48300975142,1429.4678512403,1438.97147327755,1430.46822369948,1431.46862015722,0.87,7.50276032544207,1434.46978425211,0,0,0,0,0,0
NaN,0.92,False,True,False,0.92,0.92,0.92,-13.8,4.7,-9.1,-2.2,certain,certain,-2.2,119.718333333333,1454.17722847522,3,0.883890662109479,1455.09421168419,1459.09573447891,1460.0794349116,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,0
NaN,NaN,False,True,True,0.92,0.92,1.84,-14.72,12.9,-1.82,-0.91,certain,certain,-0.91,118.808333333333,1462.09691873251,3,0.53379410749767,1462.66374907002,1466.66525970551,1476.15228203218,1467.64901709498,1468.64935979585,0.89,7.50280608283356,1471.65047301352,0,0,0,0,0,0
NaN,NaN,False,False,True,0.89,0.89,2.73,3.3425,3.025,-0.3175,1.35375,gamble,win,3.025,121.833333333333,1478.1697220155,1,0.76714200002607,1478.96997480141,1482.95476157335,1483.95514075214,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,0
NaN,NaN,False,True,True,0.89,0.89,3.62,-16.08,9.5,-6.58,1.46,certain,certain,1.46,123.293333333333,1485.97257145599,3,1.5841890454758,1487.58984664863,1491.5913656035,1501.07834697259,1492.57507115602,1493.57549449231,0.91,7.50276864494663,1496.57657571172,0,0,0,0,0,0
NaN,NaN,False,False,False,0.91,0.91,4.53,3.5625,0.625,-2.9375,-1.15625,certain,certain,-1.15625,122.137083333333,1503.09570184071,3,1.46760773402639,1504.5962846881,1508.58121161209,1509.58150727558,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,0
NaN,NaN,False,False,False,0.91,0.91,5.44,3.63833333333333,-0.225,-3.86333333333333,-2.04416666666667,certain,certain,-2.04416666666667,120.092916666667,1511.59900133591,3,1.5507739566965,1513.18292543618,1517.18444407114,1518.16809330671,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,0
NaN,NaN,False,False,True,0.91,0.91,6.35,3.71416666666667,1.375,-2.33916666666667,-0.482083333333333,certain,certain,-0.482083333333333,119.610833333333,1520.18552625051,3,0.667178318020888,1520.88578879577,1524.88735286822,1534.37422320351,1525.87106450042,1526.87144335918,0.89,7.50277408456896,1529.87250697962,0,0,0,0,0,0
NaN,NaN,False,True,False,0.89,0.89,7.24,-19.7,2.7,-17,-7.15,certain,certain,-7.15,112.460833333333,1536.39171118417,3,1.78425048198551,1538.20906509238,1542.21053093032,1543.19423072308,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,0
NaN,NaN,False,True,True,0.89,0.89,8.13,-20.59,-0.3,-20.89,-10.595,certain,certain,-10.595,101.865833333333,1545.21165854717,3,2.18440503324382,1547.42916796659,1551.43070644047,1560.91758221539,1552.41443887143,1553.41476973286,0.87,7.50228227220941,1556.41594150732,0,0,0,0,0,0
NaN,NaN,False,True,False,0.87,0.87,9,-21.18,10.1,-11.08,-0.49,certain,certain,-0.49,101.375833333333,1562.93503499799,3,0.783716431818902,1563.75203820586,1567.75357699965,1568.7372339149,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,0
NaN,NaN,False,True,False,0.87,0.87,9.87,-22.05,13.5,-8.55,-4.275,gamble,lose,-8.55,92.8258333333333,1570.75476157339,1,2.11776812502649,1572.90554256958,1576.90699112846,1577.89070372062,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,0
NaN,NaN,False,True,False,0.87,0.87,10.74,-22.92,8.7,-14.22,-2.76,certain,certain,-2.76,90.0658333333333,1579.9081299447,3,1.75096626579762,1581.69219515705,1585.69370579242,1595.18069708091,1586.67735886795,1587.67774060648,0.83,7.50280512298923,1590.67890502128,0,0,0,0,0,0
NaN,NaN,False,True,False,0.83,0.83,11.57,-23.19,3.7,-19.49,-7.895,certain,certain,-7.895,82.1708333333333,1597.19808106741,3,2.11770252871793,1599.34887902276,1603.35033846099,1604.3340420936,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,0
NaN,NaN,False,True,False,0.83,0.83,12.4,-24.02,12.3,-11.72,0.290000000000003,certain,certain,0.290000000000003,82.4608333333333,1606.35149423627,3,0.683809386566281,1607.06841472874,1611.05325173785,1620.5568446567,1612.0536318766,1613.05401105538,0.88,7.50277152482886,1616.05515339144,0,0,0,0,0,0
NaN,NaN,False,False,False,0.88,0.88,13.28,4.18666666666667,3.125,-1.06166666666667,1.03166666666667,certain,certain,1.03166666666667,83.4925,1622.57427472062,3,0.733927860041149,1623.34128744795,1627.32607965951,1628.32645499846,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,0
NaN,NaN,False,True,False,0.88,0.88,14.16,-26.48,7.5,-18.98,-5.74,certain,certain,-5.74,77.7525,1630.34388954216,3,1.78429399942979,1632.16130424698,1636.16286671942,1645.6496810579,1637.14647755725,1638.14684233686,0.86,7.50276064546779,1641.14799075248,0,0,0,0,0,0
NaN,NaN,False,False,True,0.86,0.86,15.02,4.26166666666667,2.225,-2.03666666666667,0.0941666666666667,certain,certain,0.0941666666666667,77.8466666666667,1647.66711272171,3,1.60086139186751,1649.30106602027,1653.28592670814,1654.28630844667,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,0
NaN,NaN,False,True,False,0.86,0.86,15.88,-27.92,10.3,-17.62,-3.66,certain,certain,-3.66,74.1866666666667,1656.30377274868,3,1.13397105759941,1657.47084915242,1661.47234058892,1662.45604582143,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,0
NaN,NaN,False,False,False,0.86,0.86,16.74,4.405,3.425,-0.98,1.2225,certain,certain,1.2225,75.4091666666667,1664.47347588534,3,1.18403417407535,1665.69065828319,1669.67544249527,1679.1790776517,1670.67586935125,1671.67625364976,0.88,7.5027059285203,1674.67737966671,0,0,0,0,0,0
NaN,NaN,False,True,True,0.88,0.88,17.62,-29.94,8.5,-21.44,-6.47,certain,certain,-6.47,68.9391666666667,1681.19650099589,3,1.16738742624875,1682.39698992856,1686.39843976742,1687.38214499992,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,0
NaN,NaN,False,True,True,0.88,0.88,18.5,-30.82,7.7,-23.12,-7.71,gamble,lose,-23.12,45.8191666666667,1689.39963458048,1,1.4174406232778,1690.85017671005,1694.85164286802,1704.33856824017,1695.83539897762,1696.83573367889,0.82,7.502414744813,1699.83685073641,0,0,0,0,0,0
NaN,NaN,False,False,False,0.82,0.82,19.32,4.48,-0.275,-4.755,-2.515,certain,certain,-2.515,43.3041666666667,1706.35604694136,3,0.850398777751252,1707.2397123361,1711.24118649354,1712.22488340654,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,0
NaN,NaN,False,False,True,0.82,0.82,20.14,4.54833333333333,3.275,-1.27333333333333,1.00083333333333,certain,certain,1.00083333333333,44.305,1714.24234386871,3,0.750551249133423,1715.02594222722,1719.01083779312,1728.51435903588,1720.01117025444,1721.01154527348,0.86,7.50274848612025,1724.0127151279,0,0,0,0,0,0
NaN,NaN,False,True,True,0.86,0.86,21,-33.04,13.9,-19.14,-2.62,certain,certain,-2.62,41.685,1730.53181629826,3,1.08404489338864,1731.648910861,1735.65041573672,1736.634125449,NaN,NaN,NaN,NaN,NaN,0,2,4738,0,0,5939
NaN,NaN,False,False,True,0.86,0.86,21.86,4.83166666666667,1.675,-3.15666666666667,-0.740833333333333,certain,certain,-0.740833333333333,40.9441666666667,1738.65157183202,3,2.03418048587628,1740.71904293355,1744.7205222107,1745.70427992032,NaN,NaN,NaN,NaN,NaN,8339,10820,15622,0,0,16824
NaN,NaN,False,True,True,0.86,0.86,22.72,-34.76,-0.7,-35.46,-18.08,gamble,lose,-35.46,5.48416666666667,1747.72170902428,NaN,NaN,1750.72282832162,1754.72430887865,1764.21123297093,1755.70806434844,1756.70839328994,0.83,7.50276000541635,1759.70951322722,19224,22825,27627,30007,33609,39032
NaN,NaN,False,True,False,0.83,0.83,23.55,-35.17,5.9,-29.27,-11.685,certain,certain,-11.685,-6.20083333333332,1766.22865919513,3,0.417111041722819,1766.67888454243,1770.68033214135,1771.66410585004,NaN,NaN,NaN,NaN,NaN,41432,41973,46774,0,0,47955
NaN,0.89,True,True,False,0.89,-0.11,-0.11,1.65,4.3,2.65,1.325,certain,certain,1.325,-4.87583333333332,1787.36999848008,3,0.600480933091603,1788.00357387983,1791.98845184664,1801.49200668756,1792.98879070766,1793.98919356521,0.9,7.50279456353746,1796.99034326081,66802,67562,72344,74745,78347,83770
NaN,NaN,True,True,False,0.9,-0.1,-0.21,1.61,3.1,1.49,0.745,certain,certain,0.745,-4.13083333333332,1803.50943611155,3,0.634214404039085,1804.17647395749,1808.16120121267,1809.16163126868,NaN,NaN,NaN,NaN,NaN,86170,86970,91752,0,0,92973
