lifeHappySlider_response,blockHappySlider_response,isHappyBlock,isCongruent,isWinOnTop,lastHappyRating,diff,sumDiff,RPE,winAmount,loseAmount,certainAmount,choice,outcome,outcomeAmount,currentWinnings,outcome1Box_started,choiceKey_keys,choiceKey_rt,outcome1Box_2_started,outcome1Box_3_started,fixCross_ITI_started,fixCross_ISI_started,happyText_started,happySlider_response,happySlider_rt,happySlider_started,trial_sample,choice_sample,outcome_sample,happyText_sample,happySlider_sample,fixCross_ITI_sample
0.31,0.4,True,True,True,0.4,-0.6,-0.6,9,10.5,1.5,0.75,gamble,win,10.5,10.5,218.671110257856,1,2.95142895996105,221.655633044662,225.640454694629,226.640817554318,NaN,NaN,NaN,NaN,NaN,12971,16541,21340,0,0,22565
NaN,NaN,True,True,False,0.4,-0.6,-1.2,9.6,0.7,-8.9,-4.1,gamble,win,0.7,11.2,228.674925724161,NaN,NaN,231.676068700268,235.660902509466,236.661266009207,NaN,NaN,NaN,NaN,NaN,24965,28566,33366,0,0,34583
NaN,NaN,True,True,True,0.4,-0.6,-1.8,10.2,0.5,-9.7,-4.6,gamble,win,0.5,11.7,238.678718791809,1,0.833999695954844,239.545762397349,243.530554288998,253.034167046659,244.530986264814,245.531339845038,0.58,7.50276256527286,248.532499140128,36983,38009,42809,45198,48798,54229
NaN,NaN,True,True,True,0.58,-0.42,-2.22,8.1,9.1,0.999999999999998,0.499999999999999,certain,certain,0.499999999999999,12.2,255.05164894776,3,0.883864423609339,255.968610717915,259.953453486669,260.953884182498,NaN,NaN,NaN,NaN,NaN,56629,57717,0,0,0,63737
NaN,NaN,True,True,False,0.58,-0.42,-2.64,8.52,13.9,5.38,2.69,gamble,win,13.9,26.1,262.97130944673,1,0.867246794165112,263.871657427284,267.856500196038,277.360068156268,268.856821458088,269.857216955861,0.67,7.50270944822114,272.858406009269,66137,67202,72001,74390,77990,83422
NaN,NaN,True,True,False,0.67,-0.33,-2.97,7.59,2.7,-4.89,-1.095,gamble,win,2.7,28.8,279.377467501909,1,1.25056836812291,280.661319766194,284.64615805517,285.646585871233,NaN,NaN,NaN,NaN,NaN,85822,87349,92149,0,0,93366
NaN,NaN,True,True,False,0.67,-0.33,-3.3,7.92,12.7,4.78,2.39,gamble,win,12.7,41.5,287.664021374891,1,1.18402553466149,288.881147135864,292.8659339078,293.866330365534,NaN,NaN,NaN,NaN,NaN,95766,97213,102013,0,0,103230
NaN,NaN,True,False,False,0.67,-0.33,-3.63,-1.4575,1.1,-0.3575,0.37125,gamble,lose,-0.3575,41.1425,295.883774508722,1,1.61751133936923,297.534386394429,301.535908549209,311.022844480816,302.519634900498,303.519999360084,0.43,7.50276256527286,306.521119297366,105630,107598,112398,114785,118385,123825
NaN,NaN,True,True,True,0.43,-0.57,-4.2,12.18,11.1,-1.08,-0.54,gamble,win,11.1,52.2425,313.061556872912,1,1.29617477429565,314.390833473415,318.392307310831,319.376061180606,NaN,NaN,NaN,NaN,NaN,126225,127827,132626,0,0,133840
NaN,NaN,True,True,False,0.43,-0.57,-4.77,12.75,7.7,-5.05,1.325,certain,certain,1.325,53.5675,321.393459246377,3,1.6841716064373,323.110786756035,327.095650643576,336.599212524132,328.096043581609,329.096391082159,0.56,7.50272608734667,332.097552297171,136240,138288,0,145478,149078,154511
