lifeHappySlider_response,blockHappySlider_response,isHappyBlock,isCongruent,isWinOnTop,lastHappyRating,diff,sumDiff,RPE,winAmount,loseAmount,certainAmount,choice,outcome,outcomeAmount,currentWinnings,outcome1Box_started,choiceKey_keys,choiceKey_rt,outcome1Box_2_started,outcome1Box_3_started,fixCross_ITI_started,fixCross_ISI_started,happyText_started,happySlider_response,happySlider_rt,happySlider_started,trial_sample,choice_sample,outcome_sample,happyText_sample,happySlider_sample,fixCross_ITI_sample
0.98,0.81,True,True,False,0.81,-0.19,-0.19,2.85,1.5,-1.35,0.0750000000000004,gamble,win,1.5,1.5,196.540875268707,1,1.95096868454493,198.524897877425,202.509753081918,203.510188578784,NaN,NaN,NaN,NaN,NaN,15014,17396,22178,0,0,23399
NaN,NaN,True,True,False,0.81,-0.19,-0.38,3.04,10.1,7.06,3.53,certain,certain,3.53,5.03,205.527572615345,3,2.13443733868917,207.695071877784,211.679920682614,212.680298582542,NaN,NaN,NaN,NaN,NaN,25799,28400,33182,0,0,34403
NaN,NaN,True,True,True,0.81,-0.19,-0.57,3.23,7.5,4.27,2.135,gamble,win,7.5,12.53,214.697736056263,1,1.7507479602682,216.481750729403,220.48327864824,229.970232941228,221.466987993601,222.467371013252,0.84,7.50273297482636,225.468504073066,36803,38944,43746,46127,49728,55151
NaN,NaN,True,True,False,0.84,-0.16,-0.73,2.97,10.3,7.33,3.665,gamble,win,10.3,22.83,231.987634576853,1,1.1507158339773,233.171456812215,237.172986650952,238.156692796481,NaN,NaN,NaN,NaN,NaN,57551,58972,63773,0,0,64975
NaN,NaN,True,True,True,0.84,-0.16,-0.89,3.13,0.1,-3.03,-1.465,gamble,win,0.1,22.93,240.174181787464,1,1.96762379982465,242.174955826347,246.159739034665,255.66342171904,247.16012205432,248.160517873293,0.82,7.50284144906254,251.161695730723,67375,69776,74558,76959,80560,85983
NaN,NaN,True,True,False,0.82,-0.18,-1.07,3.59,12.3,8.71,4.355,gamble,win,12.3,35.23,257.680811835278,1,1.1340696782172,258.847976395497,262.849446717391,263.833157022702,NaN,NaN,NaN,NaN,NaN,88383,89784,94586,0,0,95787
NaN,NaN,True,True,False,0.82,-0.18,-1.25,3.77,-0.5,-4.27,-2.385,gamble,win,-0.5,34.73,265.850594176438,1,2.50118585700693,268.384888354733,272.386416593552,273.370096820458,NaN,NaN,NaN,NaN,NaN,98187,101229,106030,0,0,107232
NaN,NaN,True,True,True,0.82,-0.18,-1.43,3.95,4.3,0.349999999999999,0.175,gamble,win,4.3,39.03,275.387559572839,1,1.90098381973803,277.3216321949,281.306484199562,290.81006928912,282.306861459521,283.307250558853,0.8,7.50278577201971,286.30844281552,109632,111952,116734,119135,122737,128160
NaN,NaN,True,False,False,0.8,-0.2,-1.63,-0.835833333333333,5.7,4.86416666666667,2.43208333333333,gamble,lose,4.86416666666667,43.8941666666667,292.827550920498,1,1.18404366360119,294.044739063462,298.046209065375,299.029977607592,NaN,NaN,NaN,NaN,NaN,130560,132021,136822,0,0,138024
NaN,NaN,True,False,True,0.8,-0.2,-1.83,-0.8525,5.1,4.2475,2.12375,gamble,lose,4.2475,48.1416666666667,301.047360684202,1,1.83427824313912,302.914734449307,306.899589973782,316.403267858412,307.899966593777,308.900354733159,0.82,7.50281169064328,311.901485873073,140424,142665,147447,149847,153449,158872
NaN,NaN,True,True,False,0.82,-0.18,-2.01,4.53,13.1,8.57,4.285,gamble,win,13.1,61.2416666666667,318.42065157499,1,1.03396331586919,319.487724172093,323.489254970777,324.472962716223,NaN,NaN,NaN,NaN,NaN,161272,162552,167354,0,0,168556
NaN,NaN,True,False,False,0.82,-0.18,-2.19,-0.8125,-0.9,-1.7125,-1.30625,gamble,lose,-1.7125,59.5291666666667,326.490395710181,1,2.51766274175679,329.041348203584,333.042894041471,342.529855694069,334.026612666337,335.026991846196,0.81,7.50278545203764,338.028123306092,170956,174017,178819,181200,184801,190224
NaN,NaN,True,False,False,0.81,-0.19,-2.38,-0.863333333333333,12.1,11.2366666666667,5.61833333333333,gamble,lose,11.2366666666667,70.7658333333333,344.547285808181,1,1.20058358499955,345.781145065575,349.782617947338,350.766326972713,NaN,NaN,NaN,NaN,NaN,192624,194105,198907,0,0,200108
NaN,NaN,True,True,False,0.81,-0.19,-2.57,5.23,2.1,-3.13,-0.515,gamble,win,2.1,72.8658333333333,352.78378620528,NaN,NaN,355.784911265517,359.786491341583,360.770150129625,NaN,NaN,NaN,NaN,NaN,202508,206109,210912,0,0,212113
NaN,NaN,True,True,True,0.81,-0.19,-2.76,5.42,-1.3,-6.72,-4.01,gamble,win,-1.3,71.5658333333333,362.787581843655,1,1.38409767673147,364.204785601789,368.20631800039,377.693325410557,369.190075023216,370.190455483007,0.79,7.50277905237454,373.191585982953,214513,216214,221015,223396,226998,232421
NaN,NaN,True,True,False,0.79,-0.21,-2.97,5.91,12.9,6.99,3.495,gamble,win,12.9,84.4658333333334,379.710704327386,1,1.25072876128615,380.994529890573,384.996107726758,385.97976299499,NaN,NaN,NaN,NaN,NaN,234821,236361,241163,0,0,242365
NaN,NaN,True,True,False,0.79,-0.21,-3.18,6.12,2.3,-3.82,-0.76,gamble,win,2.3,86.7658333333333,387.997199828747,1,1.31742217853389,389.347718489196,393.349297605313,402.836250618369,394.332955113427,395.333336533164,0.83,7.50278897184762,398.334520470275,244765,246386,251187,253568,257170,262593
NaN,NaN,True,True,True,0.83,-0.17,-3.35,5.73,11.7,5.97,2.985,gamble,win,11.7,98.4658333333334,404.853634334944,1,1.08399937795184,405.970728914883,409.972306431086,410.955962979249,NaN,NaN,NaN,NaN,NaN,264993,266333,271135,0,0,272336
NaN,NaN,True,False,True,0.83,-0.17,-3.52,-0.888333333333334,9.1,8.21166666666667,4.10583333333333,gamble,lose,8.21166666666667,106.6775,412.973397893107,1,1.15069631501319,414.157233887738,418.142037894948,419.142469872004,NaN,NaN,NaN,NaN,NaN,274736,276157,280939,0,0,282160
NaN,NaN,True,True,False,0.83,-0.17,-3.69,6.07,12.7,6.63,3.315,gamble,win,12.7,119.3775,421.15990798569,1,0.983963091883197,422.176964359656,426.178439481297,435.66544785141,427.162148506672,428.162580483728,0.84,7.50276817295526,431.163654986649,284560,285780,290583,292963,296565,301988
NaN,NaN,True,False,False,0.84,-0.16,-3.85,-0.880833333333333,11.9,11.0191666666667,5.50958333333333,gamble,lose,11.0191666666667,130.396666666667,437.682845327257,1,1.05062675070803,438.766573359626,442.768155675571,443.751862461068,NaN,NaN,NaN,NaN,NaN,304388,305688,310490,0,0,311692
NaN,NaN,True,False,True,0.84,-0.16,-4.01,-0.894166666666667,-1.5,-2.39416666666667,-1.94708333333333,gamble,lose,-2.39416666666667,128.0025,445.769249377474,1,2.20107795873628,448.003426058011,452.004912379056,461.49191626941,452.988702360133,453.989053061505,0.78,7.50273585467221,456.9901525231,314092,316773,321575,323956,327557,332980
NaN,NaN,True,True,False,0.78,-0.22,-4.23,7.31,2.9,-4.41,-0.754999999999999,gamble,win,2.9,130.9025,463.509355663027,1,1.16741286702745,464.709808054999,468.711333733954,469.695097796408,NaN,NaN,NaN,NaN,NaN,335380,336821,341623,0,0,342824
NaN,NaN,True,True,True,0.78,-0.22,-4.45,7.53,9.9,2.37,1.185,gamble,win,9.9,140.8025,471.71247159351,1,1.23406532645095,472.979669239972,476.981152681172,486.468161691253,477.96491642364,478.965299763277,0.82,7.50282384999809,481.96643474299,345224,346745,351546,353927,357529,362952
NaN,NaN,True,True,False,0.82,-0.18,-4.63,7.15,3.5,-3.65,-0.0749999999999997,gamble,win,3.5,144.3025,488.485548607659,1,1.85094615773778,490.369604366617,494.371184122701,495.35483043141,NaN,NaN,NaN,NaN,NaN,365352,367613,372415,0,0,373616
NaN,NaN,True,True,False,0.82,-0.18,-4.81,7.33,6.3,-1.03,-0.515,gamble,win,6.3,150.6025,497.372268225114,1,1.08398881851463,498.489362485067,502.490943521083,503.474600709211,NaN,NaN,NaN,NaN,NaN,376016,377357,382159,0,0,383360
NaN,NaN,True,False,False,0.82,-0.18,-4.99,-1.04583333333333,7.9,6.85416666666667,3.42708333333333,gamble,lose,6.85416666666667,157.456666666667,505.492031463291,1,1.10067977189101,506.62583715553,510.627333396053,520.114279369482,511.611087859015,512.611418081473,0.82,7.50274001445359,515.612551781251,385760,387120,391922,394303,397905,403308
NaN,0.8,False,True,True,0.8,0.8,0.8,-12,10.5,-1.5,-0.750000000000001,gamble,lose,-1.5,155.956666666667,544.023467233423,1,1.2671534888068,545.323898314524,549.325427833275,550.309191255761,NaN,NaN,NaN,NaN,NaN,431998,433559,438361,0,0,439562
NaN,NaN,False,True,True,0.8,0.8,1.6,-12.8,2.3,-10.5,-4.1,gamble,lose,-10.5,145.456666666667,552.326577212221,1,2.01749859047413,554.377353714972,558.378937310852,567.865890323908,559.362594818966,560.362976238703,0.76,7.50279217167918,563.364103538821,441962,444423,449225,451606,455207,460630
NaN,NaN,False,True,True,0.76,0.76,2.36,-13,-0.7,-13.7,-7.2,gamble,lose,-13.7,131.756666666667,569.883272440569,1,2.66793091950967,572.58430368179,576.585833520527,577.569539026088,NaN,NaN,NaN,NaN,NaN,463030,466271,471074,0,0,472275
NaN,NaN,False,False,False,0.76,0.76,3.12,2.92,2.575,-0.345,1.115,gamble,win,2.575,134.331666666667,579.58697745976,1,2.0510353690006,581.671107070793,585.655959395437,595.159635360171,586.656336335414,587.656726714678,0.78,7.50282544991205,590.657858174574,474675,477176,481958,484359,487960,493383
NaN,NaN,False,True,False,0.78,0.78,3.9,-14.82,3.5,-11.32,-3.91,gamble,lose,-11.32,123.011666666667,597.177080513484,1,1.68416397721012,598.894344812405,602.895868891446,603.879582396585,NaN,NaN,NaN,NaN,NaN,495783,497844,502646,0,0,503847
NaN,NaN,False,True,True,0.78,0.78,4.68,-15.6,0.5,-15.1,-7.3,gamble,lose,-15.1,107.911666666667,605.897016990461,1,2.10103943278591,608.031165064513,612.032690743468,613.016398488915,NaN,NaN,NaN,NaN,NaN,506247,508808,513610,0,0,514812
NaN,NaN,False,False,False,0.78,0.78,5.46,3.185,0.025,-3.16,-1.5675,gamble,win,0.025,107.936666666667,615.033890359748,1,1.63415831351085,616.701135875664,620.702670834125,630.18962256725,621.686375059759,622.686757439446,0.76,7.50278993179745,625.687885379532,517212,519212,524014,526395,529997,535420
NaN,NaN,False,False,True,0.76,0.76,6.22,3.17833333333333,2.225,-0.953333333333334,0.635833333333333,certain,certain,0.635833333333333,108.5725,632.207054921244,3,1.21739005224299,633.45754369528,637.442439537612,638.442823837198,NaN,NaN,NaN,NaN,NaN,537820,539320,544102,0,0,545324
NaN,NaN,False,True,False,0.76,0.76,6.98,-17.62,4.5,-13.12,-4.31,gamble,lose,-13.12,95.4525,640.460206913809,1,1.40077871063477,641.89408626614,645.895613864992,655.382570717844,646.879318090625,647.879705270057,0.74,7.50288496675057,650.880802171789,547724,549444,554246,556627,560228,565651
NaN,NaN,False,False,False,0.74,0.74,7.72,3.23333333333333,-0.275,-3.50833333333333,-1.89166666666667,certain,certain,-1.89166666666667,93.5608333333334,657.400008191566,3,2.78468535751381,660.217802190349,664.219332349068,665.202980897655,NaN,NaN,NaN,NaN,NaN,568051,571433,576234,0,0,577436
NaN,NaN,False,False,True,0.74,0.74,8.46,3.295,3.225,-0.0699999999999998,1.5775,certain,certain,1.5775,95.1383333333334,667.220422211172,3,1.55082802001562,668.804357592526,672.789210877119,673.789591016928,NaN,NaN,NaN,NaN,NaN,579836,581737,586519,0,0,587740
NaN,NaN,False,True,True,0.74,0.74,9.2,-19.56,-1.5,-21.06,-11.28,gamble,lose,-21.06,74.0783333333334,675.807023050937,1,1.80098593162984,677.641060666858,681.64264106291,691.129595995862,682.626353608099,683.626676150965,0.74,7.50279665144262,686.627864567836,590140,592341,597143,599524,603125,608548
NaN,NaN,False,True,False,0.74,0.74,9.94,-20.3,-0.1,-20.4,-10.25,certain,certain,-10.25,63.8283333333334,693.147030589738,3,1.65081630864006,694.830952659795,698.832483458482,699.816193443807,NaN,NaN,NaN,NaN,NaN,610948,612969,617771,0,0,618973
NaN,NaN,False,True,False,0.74,0.74,10.68,-21.04,2.9,-18.14,-7.62,gamble,lose,-18.14,45.6883333333334,701.833683714722,1,1.35075608783882,703.217541084221,707.219012046084,716.706020416197,708.202729391018,709.203158808206,0.76,7.50275697354664,712.204273309002,621373,623033,627835,630216,633817,639240
NaN,NaN,False,True,False,0.76,0.76,11.44,-22.08,7.3,-14.78,-3.74,gamble,lose,-14.78,30.9083333333334,718.723460129801,1,1.5674485771342,720.324016708233,724.325543667121,725.309302609847,NaN,NaN,NaN,NaN,NaN,641640,643561,648363,0,0,649564
NaN,NaN,False,True,True,0.76,0.76,12.2,-22.84,9.3,-13.54,-2.12,gamble,lose,-13.54,17.3683333333334,727.3267413635,1,0.900546082993969,728.260378168714,732.261900967824,741.748854620844,733.245613832994,734.245995572717,0.76,7.50278065229213,737.247127672581,651964,653085,657887,660268,663869,669292
NaN,NaN,False,True,True,0.76,0.76,12.96,-23.6,9.1,-14.5,-2.7,gamble,lose,-14.5,2.86833333333336,743.766290174666,1,0.983952532442345,744.783346868615,748.784877987284,749.768588612576,NaN,NaN,NaN,NaN,NaN,671692,672913,677715,0,0,678916
NaN,NaN,False,True,False,0.76,0.76,13.72,-24.36,10.1,-14.26,-2.08,gamble,lose,-14.26,-11.3916666666666,751.78602544633,1,1.21737021329682,753.036504300893,757.038028059953,758.021733885496,NaN,NaN,NaN,NaN,NaN,681316,682817,687618,0,0,688820
