lifeHappySlider_response,blockHappySlider_response,isHappyBlock,isCongruent,isWinOnTop,lastHappyRating,diff,sumDiff,RPE,winAmount,loseAmount,certainAmount,choice,outcome,outcomeAmount,currentWinnings,outcome1Box_started,choiceKey_keys,choiceKey_rt,outcome1Box_2_started,outcome1Box_3_started,fixCross_ITI_started,fixCross_ISI_started,happyText_started,happySlider_response,happySlider_rt,happySlider_started,trial_sample,choice_sample,outcome_sample,happyText_sample,happySlider_sample,fixCross_ITI_sample
0.44,0.5,True,True,True,0.5,-0.5,-0.5,7.5,8.1,0.6,0.3,gamble,win,8.1,8.1,960.296661146975,1,2.2010626604897,962.530828193616,966.515678002033,967.516058140754,NaN,NaN,NaN,NaN,NaN,16428,19109,23891,0,0,25112
NaN,NaN,True,True,True,0.5,-0.5,-1,8,9.9,1.9,0.95,certain,certain,0.95,9.05,969.533485004853,3,1.83433631714433,971.400864271593,975.385716319899,976.386084619269,NaN,NaN,NaN,NaN,NaN,27512,29753,34535,0,0,35757
NaN,NaN,True,True,False,0.5,-0.5,-1.5,8.5,4.1,-4.4,-0.15,certain,certain,-0.15,8.9,978.403523002722,3,2.38452054685331,980.821095778636,984.822611213778,994.309534026106,985.806316126313,986.806693065184,0.5,7.5027680049825,989.807813322463,38157,41058,45860,48240,51842,57265
NaN,NaN,True,False,False,0.5,-0.5,-2,-1.91666666666667,12.9,10.9833333333333,5.49166666666667,gamble,lose,10.9833333333333,19.8833333333333,996.326965369954,1,1.53417104642722,997.894220963615,1001.89574023854,1002.87947266953,NaN,NaN,NaN,NaN,NaN,59665,61546,66347,0,0,67549
NaN,NaN,True,False,False,0.5,-0.5,-2.5,-1.95833333333333,11.9,9.94166666666667,4.97083333333333,gamble,lose,9.94166666666667,29.825,1004.89686945532,1,1.98439031414455,1006.91430559888,1010.89910836992,1020.40274192646,1011.89952594656,1012.8998766469,0.5,7.50278720390634,1015.90102442264,69949,72370,77152,79553,83154,88577
NaN,NaN,True,True,True,0.5,-0.5,-3,10,-0.5,-10.5,-5.5,certain,certain,-5.5,24.325,1022.42017455024,3,1.98432407784276,1024.43760397419,1028.43911748941,1029.42282752166,NaN,NaN,NaN,NaN,NaN,90977,93398,98200,0,0,99401
NaN,NaN,True,True,False,0.5,-0.5,-3.5,10.5,8.3,-2.2,-1.1,gamble,win,8.3,32.625,1031.44017567017,1,1.96773428688175,1033.44101498317,1037.42590414936,1038.42622701128,NaN,NaN,NaN,NaN,NaN,101801,104202,108984,0,0,110206
NaN,NaN,True,True,True,0.5,-0.5,-4,11,7.5,-3.5,2,gamble,win,7.5,40.125,1040.4436570752,1,1.91764205202344,1042.39438143466,1046.39585719199,1055.88280016321,1047.37954834529,1048.37999888006,0.54,7.50276224530535,1051.38114569584,112606,114946,119749,122129,125731,131154
NaN,NaN,True,False,False,0.54,-0.46,-4.46,-1.98166666666667,3.5,1.51833333333333,0.759166666666667,gamble,lose,1.51833333333333,41.6433333333333,1057.90026414522,1,1.60086747142486,1059.5342196837,1063.51907045205,1064.51944003135,NaN,NaN,NaN,NaN,NaN,133554,135515,140296,0,0,141518
NaN,NaN,True,True,True,0.54,-0.46,-4.92,11.36,5.3,-6.06,-0.38,certain,certain,-0.38,41.2633333333333,1066.53686913534,3,1.85094082733849,1068.42088235059,1072.40575327782,1081.90935643605,1073.40613949619,1074.40651515516,0.5,7.50273152702721,1077.40764085212,143918,146179,150961,153362,156963,162386
